Company Name,Website,Location,About,Founded Year,Industry,Is Government Institute,Is a private company,Is a research institution,"Is a medical center (e.g., hospital or clinic)"
LIVZON MABPHARM INC,www.livzon.com,"Zhuhai, China",Livzon Mabpharm Inc is a biopharmaceutical company specializing in monoclonal antibody development.,1993,Biopharmaceuticals,No,Yes,No,No
LIXIAN DISEASE PREVENTION CONTROL CENT,[Not Available],"Lixian, China",Lixian Disease Prevention Control Center is involved in disease prevention and control activities in the Lixian region.,[Not Available],Public Health,Yes,No,No,No
LNHC INC,[Not Available],[Not Available],LNHC Inc specializes in health-related technology and solutions.,[Not Available],Healthcare Technology,No,Yes,No,No
LNTERU MEDIARU CO LTD,[Not Available],[Not Available],LNTERU Mediaru Co Ltd is involved in the medical and media technology sector.,[Not Available],Medical & Media Technology,No,Yes,No,No
LOCUS SOLUTIONS IPCO LLC,[Not Available],[Not Available],Locus Solutions IPCO LLC provides technological solutions and services for various industries.,[Not Available],Technology Solutions,No,Yes,No,No
LOCUSA FE BV,[Not Available],[Not Available],Locusa FE BV specializes in technology solutions and services.,[Not Available],Technology Solutions,No,Yes,No,No
LOEWENSTEIN MEDICAL TECHNOLOGY SA,www.loewensteinmedical.com,France,"Loewenstein Medical Technology SA focuses on medical technologies, including respiratory and sleep solutions.",[Not Available],Medical Technology,No,Yes,No,No
LOGEN CO LTD,[Not Available],[Not Available],Logen Co Ltd specializes in various industrial and technological products.,[Not Available],Industrial & Technology,No,Yes,No,No
LOGICINK CORP,[Not Available],[Not Available],LogicInk Corp focuses on technology and innovation in various fields.,[Not Available],Technology,No,Yes,No,No
LOGIX BIOSCI INC,[Not Available],[Not Available],Logix Biosci Inc specializes in bioscience research and technology.,[Not Available],Biotechnology,No,Yes,Yes,No
LOMEDATECH SL,[Not Available],[Not Available],Lomedatech SL focuses on medical technology and solutions.,[Not Available],Medical Technology,No,Yes,No,No
LOMOND THERAPEUTICS INC,[Not Available],[Not Available],Lomond Therapeutics Inc specializes in therapeutic treatments and pharmaceuticals.,[Not Available],Pharmaceuticals,No,Yes,No,No
LONDON HEALTH SCI CENT RES INC,[Not Available],"London, UK",London Health Science Centre Research Inc focuses on healthcare and medical research.,[Not Available],Healthcare & Research,No,Yes,Yes,Yes
LONGEVERON INC,www.longeveron.com,"Miami, FL, USA",LongEveron Inc focuses on developing stem cell therapies and regenerative medicine.,[Not Available],Biotechnology,No,Yes,No,No
LONGHORN VACCINES & DIAGNOSTICS LLC,www.longhornvaccine.com,"Austin, TX, USA",Longhorn Vaccines & Diagnostics LLC specializes in developing vaccines and diagnostic tests.,[Not Available],Biotech & Pharmaceuticals,No,Yes,No,No
LONGHU MODERN IMMUNOLOGY LAB,[Not Available],[Not Available],Longhu Modern Immunology Lab focuses on immunology research and development.,[Not Available],Biotechnology,No,Yes,Yes,No
LONGKOU SUNNY MOLDING CO LTD,[Not Available],"Longkou, China",Longkou Sunny Molding Co Ltd specializes in mold manufacturing and design.,[Not Available],Manufacturing,No,Yes,No,No
LONGLY BIOMEDICINE WUHAN CO LTD,[Not Available],"Wuhan, China",Longly Biomedicine focuses on biotechnology and pharmaceutical research.,[Not Available],Biotechnology,No,Yes,No,No
LONGNAN REN ZHONG MEDICAL EQUIP CO LTD,[Not Available],"Longnan, China",Longnan Ren Zhong Medical Equip Co Ltd specializes in medical equipment manufacturing.,[Not Available],Medical Equipment,No,Yes,No,No
LONGQUAN PEOPLES HOSPITAL,[Not Available],"Longquan, China",Longquan People's Hospital provides healthcare services in the Longquan region.,[Not Available],Healthcare,No,No,No,Yes
LONGYAN PEOPLE HOSPITAL,[Not Available],"Longyan, China",Longyan People's Hospital offers medical services to the Longyan community.,[Not Available],Healthcare,No,No,No,Yes
LONGYAN XINAO BIOTECH CO LTD,[Not Available],"Longyan, China",Longyan Xinao Biotech Co Ltd is involved in biotechnology research and development.,[Not Available],Biotechnology,No,Yes,No,No
LONZA CONSUMER HEALTH INC,www.lonza.com,[Not Available],Lonza Consumer Health Inc focuses on providing health solutions and products for the consumer market.,[Not Available],Healthcare & Pharmaceuticals,No,Yes,No,No
LONZA GREENWOOD LLC,www.lonza.com,"Greenwood, SC, USA",Lonza Greenwood LLC specializes in contract manufacturing and development of pharmaceuticals and biologics.,[Not Available],Biopharmaceuticals,No,Yes,No,No
LONZA LLC,www.lonza.com,[Not Available],"Lonza LLC provides integrated solutions for pharmaceuticals, biotechnology, and specialty ingredients.",[Not Available],Biopharmaceuticals,No,Yes,No,No
LONZA SALES AG,www.lonza.com,"Basel, Switzerland",Lonza Sales AG handles the sales and distribution of Lonza's products and services.,[Not Available],Sales & Biopharmaceuticals,No,Yes,No,No
LORDS MARK IND PRIVATE LTD,[Not Available],[Not Available],Lords Mark Industrial Private Ltd specializes in industrial products and solutions.,[Not Available],Industrial Products,No,Yes,No,No
LOS CORP KK,[Not Available],[Not Available],LOS Corp KK is involved in various technological and industrial sectors.,[Not Available],Technology & Industrial,No,Yes,No,No
LOTTE CHEM CORP,www.lottechem.com,"Seoul, South Korea","Lotte Chem Corp is a major player in the chemical industry, producing a wide range of chemical products.",[Not Available],Chemicals,No,Yes,No,No
LOUVER-LITE LTD,[Not Available],[Not Available],Louver-Lite Ltd specializes in lighting solutions and technologies.,[Not Available],Lighting,No,Yes,No,No
LOWELL THERAPEUTICS INC,[Not Available],[Not Available],Lowell Therapeutics Inc focuses on developing innovative therapeutics and healthcare solutions.,[Not Available],Pharmaceuticals,No,Yes,No,No
LSI MEDIENCE CORP,www.lsi-medicine.com,"Tokyo, Japan","LSI Medience Corp provides medical and diagnostic solutions, including lab services and medical devices.",[Not Available],Medical Diagnostics,No,Yes,No,No
LSK FINETEX CO LTD,[Not Available],[Not Available],LSK Finetex Co Ltd specializes in advanced textile technologies and applications.,[Not Available],Textiles,No,Yes,No,No
LTS LOHMANN THERAPIE SYSTEME AG,www.lts-lohmann.com,"Andernach, Germany",LTS Lohmann Therapie Systeme AG focuses on drug delivery systems and therapeutic solutions.,[Not Available],Drug Delivery Systems,No,Yes,No,No
LTT BIOPHARMA CO LTD,[Not Available],[Not Available],LTT Biopharma Co Ltd is involved in the development and production of biopharmaceuticals.,[Not Available],Biopharmaceuticals,No,Yes,No,No
LTZ IND LLC,[Not Available],[Not Available],LTZ Industrial LLC provides various industrial solutions and services.,[Not Available],Industrial Services,No,Yes,No,No
LU STIFTUNG SANFTE LUNGENTHERAPIEN SA,[Not Available],[Not Available],LU Stiftung Sanfte Lungentherapien SA focuses on gentle lung therapies and related treatments.,[Not Available],Healthcare,No,Yes,No,No
LUAN DISEASE CONTROL & PREVENTION CENT,[Not Available],"Luan, China",Luan Disease Control & Prevention Center is involved in disease prevention and control initiatives in the Luan region.,[Not Available],Public Health,Yes,No,No,No
LUBAWA SA,www.lubawa.pl,"Lubawa, Poland",Lubawa SA specializes in protective clothing and safety solutions.,[Not Available],Safety & Protective Gear,No,Yes,No,No
LUBERSKI INC DBA HIDDEN VILLA RANCH,[Not Available],[Not Available],"Luberski Inc, operating as Hidden Villa Ranch, focuses on agricultural and ranching activities.",[Not Available],Agriculture,No,Yes,No,No
LUCE COMMUNICATIONS LLC,[Not Available],[Not Available],Luce Communications LLC specializes in communication and media services.,[Not Available],Media & Communications,No,Yes,No,No
LUCENCE LIFE SCI PTE LTD,[Not Available],Singapore,Lucence Life Sci Pte Ltd specializes in life sciences and diagnostic technologies.,[Not Available],Life Sciences & Diagnostics,No,Yes,No,No
LUCIRA HEALTH INC,www.lucirahealth.com,"Menlo Park, CA, USA",Lucira Health Inc develops and provides diagnostic tests and health solutions.,[Not Available],Healthcare Diagnostics,No,Yes,No,No
LUCKWEL PHARM INC,[Not Available],[Not Available],Luckwel Pharm Inc focuses on pharmaceutical development and production.,[Not Available],Pharmaceuticals,No,Yes,No,No
LUMEN BIOSCIENCE INC,www.lumenbioscience.com,"Seattle, WA, USA",Lumen Bioscience Inc is a biotech company focusing on synthetic biology and protein-based therapeutics.,[Not Available],Biotechnology,No,Yes,No,No
LUMEN CATHETERS LLC,[Not Available],[Not Available],Lumen Catheters LLC specializes in the development and production of medical catheters and related devices.,[Not Available],Medical Devices,No,Yes,No,No
LUMIBO SRO,[Not Available],Slovakia,Lumibo SRO focuses on optical and photonic technologies.,[Not Available],Optics & Photonics,No,Yes,No,No
LUMINNOVA HEALTH LTD,[Not Available],[Not Available],LuminNova Health Ltd specializes in innovative health and diagnostic solutions.,[Not Available],Healthcare,No,Yes,No,No
LUMINOUS MIND INC,[Not Available],[Not Available],Luminous Mind Inc focuses on cognitive health and neurotechnology solutions.,[Not Available],Neurotechnology,No,Yes,No,No
LUMINULTRA TECHNOLOGIES LTD,www.luminultra.com,"Halifax, Canada",LuminUltra Technologies Ltd specializes in advanced microbial testing and diagnostic solutions.,[Not Available],Microbial Testing,No,Yes,No,No
LUMIRADX UK LTD,www.lumiradx.com,UK,LumiraDx UK Ltd develops diagnostic solutions and point-of-care testing technologies.,[Not Available],Diagnostics,No,Yes,No,No
LUMISTAR BIOTECHNOLOGY INC,[Not Available],[Not Available],Lumistar Biotechnology Inc focuses on innovative biotechnological solutions and research.,[Not Available],Biotechnology,No,Yes,No,No
LUMITEX INC,[Not Available],[Not Available],Lumitex Inc specializes in light-emitting technologies and related applications.,[Not Available],Light Technologies,No,Yes,No,No
LUNAN PHARM GROUP CORP,www.lunanpharm.com,"Shijiazhuang, China","Lunan Pharm Group Corp is a major pharmaceutical company focusing on research, development, and manufacturing.",[Not Available],Pharmaceuticals,No,Yes,No,No
LUNANO INC,[Not Available],[Not Available],Lunano Inc specializes in biopharmaceuticals and therapeutic solutions.,[Not Available],Biopharmaceuticals,No,Yes,No,No
LUNDAL CORP,[Not Available],[Not Available],Lundal Corp provides industrial and technological solutions.,[Not Available],Industrial Technology,No,Yes,No,No
LUNDBECK AS H,www.lundbeck.com,"Copenhagen, Denmark",Lundbeck AS H is a global pharmaceutical company focused on psychiatric and neurological disorders.,[Not Available],Pharmaceuticals,No,Yes,No,No
LUNDQUIST BIOMEDICAL INNOVATION HARBOR,[Not Available],[Not Available],Lundquist Biomedical Innovation Harbor focuses on advancing biomedical research and innovation.,[Not Available],Biomedical Research,No,Yes,No,No
LUNG THERAPEUTICS INC,[Not Available],[Not Available],Lung Therapeutics Inc specializes in developing therapies for lung diseases and conditions.,[Not Available],Pharmaceuticals,No,Yes,No,No
LUODA PHARM CO LTD,[Not Available],[Not Available],Luoda Pharm Co Ltd focuses on pharmaceutical development and manufacturing.,[Not Available],Pharmaceuticals,No,Yes,No,No
LUOHE NO 1 PEOPLES HOSPITAL,[Not Available],"Luohe, China",Luohe No 1 People's Hospital is a major hospital providing comprehensive medical services.,[Not Available],Healthcare,No,No,No,Yes
LUOYANG LANKAI BIOLOGICAL TECHNOLOGY CO,[Not Available],"Luoyang, China",Luoyang Lankai Biological Technology Co focuses on biological technology and related innovations.,[Not Available],Biotechnology,No,Yes,No,No
LUOYANG MODERN BIOTECH INST CO LTD,[Not Available],"Luoyang, China",Luoyang Modern Biotech Institute Co Ltd specializes in modern biotechnological research and development.,[Not Available],Biotechnology,No,Yes,No,No
LUOYANG PULAIKE WANTAI BIOLOGICAL TECHNOLOGY,[Not Available],"Luoyang, China",Luoyang PulaiKe Wantai Biological Technology is involved in biological technology and healthcare solutions.,[Not Available],Biotechnology,No,Yes,No,No
LUOYANG PUTAI BIOTECHNOLOGY CO LTD,[Not Available],"Luoyang, China",Luoyang Putai Biotechnology Co Ltd focuses on biotechnology research and applications.,[Not Available],Biotechnology,No,Yes,No,No
LUOYANG SAIWEI BIOTECHNOLOGY CO LTD,[Not Available],"Luoyang, China",Luoyang Saiwei Biotechnology Co Ltd specializes in biotech products and solutions.,[Not Available],Biotechnology,No,Yes,No,No
LUPIN LTD,www.lupin.com,"Mumbai, India",Lupin Ltd is a global pharmaceutical company focused on generic and branded drugs.,[Not Available],Pharmaceuticals,No,Yes,No,No
LURIE CHILDRENS HOSPITAL CHICAGO ANN &,www.luriechildrens.org,"Chicago, IL, USA",Ann & Robert H. Lurie Children's Hospital of Chicago provides pediatric healthcare services and research.,[Not Available],Healthcare,No,No,No,Yes
LUSHENG CHIHAO BEIJING TECHNOLOGY DEV CO LTD,[Not Available],"Beijing, China",Lusheng Chihao Beijing Technology Development Co Ltd focuses on technology development and innovation.,[Not Available],Technology Development,No,Yes,No,No
LUXMATRA INNOVATIONS PRIVATE LTD,[Not Available],[Not Available],Luxmatra Innovations Private Ltd specializes in advanced technology and innovation solutions.,[Not Available],Technology & Innovation,No,Yes,No,No
LYBE SCI AS,[Not Available],[Not Available],LYBE SCI AS focuses on scientific research and development.,[Not Available],Scientific Research,No,Yes,No,No
LYME REVIVE FOUND,[Not Available],[Not Available],Lyme Revive Foundation focuses on research and support for Lyme disease.,[Not Available],Non-Profit Health,No,No,No,No
LYRA THERAPEUTICS INC,www.lyratherapeutics.com,"Lexington, MA, USA",Lyra Therapeutics Inc specializes in developing innovative drug delivery systems for chronic diseases.,[Not Available],Pharmaceuticals,No,Yes,No,No
LYRUS LIFE SCI PVT LTD,[Not Available],[Not Available],Lyrus Life Sci Pvt Ltd focuses on life sciences research and biotechnology solutions.,[Not Available],Biotechnology,No,Yes,No,No
LYSANDO INC,www.lysando.com,[Not Available],Lysando Inc specializes in antimicrobial and therapeutic solutions using biological methods.,[Not Available],Biotechnology,No,Yes,No,No
M-SQUARED CONSULTING SRL,[Not Available],[Not Available],M-Squared Consulting SRL provides consulting services in various fields including technology and life sciences.,[Not Available],Consulting,No,Yes,No,No
M2CLOUD,[Not Available],[Not Available],M2Cloud specializes in cloud computing and technology solutions.,[Not Available],Cloud Computing,No,Yes,No,No
MAAT PHARMA,[Not Available],[Not Available],MAAT Pharma focuses on pharmaceutical research and drug development.,[Not Available],Pharmaceuticals,No,Yes,No,No
MABLOC LLC,[Not Available],[Not Available],MABLOC LLC specializes in biotechnology and molecular research.,[Not Available],Biotechnology,No,Yes,No,No
